Rank,Name,Total_Net_Worth,Total_Net_Worth_Bil,LastChange,LastChange_Bil,YTDChange,YTDChange_Bil,Country,Industry
21,Charles Koch ,$60.2B,60.2,-$643M,-0.643,+$3.32B,3.32,UnitedStates,Industrial
22,Julia Flesher Koch&family,$60.2B,60.2,-$643M,-0.643,+$3.32B,3.32,UnitedStates,Industrial
23,Zeng Yuqun ,$57.3B,57.3,+$2.74B,2.74,+$26.3B,26.3,HongKong,Industrial
24,MacKenzie Scott ,$56.9B,56.9,-$1.29B,-1.29,-$1.59B,-1.59,UnitedStates,Technology
25,Michael Dell ,$55.9B,55.9,-$10.1M,-0.0101,+$15.8B,15.8,UnitedStates,Technology
26,Francois Pinault ,$50.2B,50.2,-$678M,-0.678,+$2.44B,2.44,France,Consumer
27,Ma Huateng ,$49.2B,49.2,-$671M,-0.671,-$7.28B,-7.28,China,Technology
28,Jacqueline Badger Mars,$47.8B,47.8,-$1.01B,-1.01,+$6.04B,6.04,UnitedStates,Food&Beverage
29,John Mars ,$47.8B,47.8,-$1.01B,-1.01,+$6.04B,6.04,UnitedStates,Food&Beverage
30,Len Blavatnik ,$45.1B,45.1,-$221M,-0.221,+$6.95B,6.95,UnitedStates,Diversified
31,Zhang Yiming ,$44.5B,44.5,$0 ,0,+$19.5B,19.5,China,Technology
32,Jack Ma ,$43.2B,43.2,-$478M,-0.478,-$7.39B,-7.39,China,Technology
33,Stephen Schwarzman ,$39.8B,39.8,-$221M,-0.221,+$18.3B,18.3,UnitedStates,Finance
34,Azim Premji ,$37.4B,37.4,-$616M,-0.616,+$12.0B,12,India,Technology
35,Klaus-Michael Kuehne ,$36.0B,36,-$367M,-0.367,+$11.8B,11.8,Germany,Industrial
36,Giovanni Ferrero&family ,$34.2B,34.2,-$866M,-0.866,+$112M,0.112,Italy,Food&Beverage
37,Tadashi Yanai ,$34.1B,34.1,+$333M,0.333,-$11.1B,-11.1,Japan,Retail
38,Takemitsu Takizaki ,$33.8B,33.8,+$1.38B,1.38,+$1.41B,1.41,Japan,Technology
39,Leonard Lauder ,$33.5B,33.5,-$102M,-0.102,+$5.66B,5.66,UnitedStates,Consumer
40,Leonid Mikhelson ,$33.3B,33.3,-$249M,-0.249,+$8.58B,8.58,RussianFederation,Energy
41,Leonardo Del Vecchio,$32.5B,32.5,+$595M,0.595,+$7.77B,7.77,Italy,Consumer
42,Vladimir Potanin ,$31.8B,31.8,-$292M,-0.292,+$1.76B,1.76,RussianFederation,Commodities
43,Pallonji Mistry ,$31.8B,31.8,-$213M,-0.213,+$7.23B,7.23,Ireland,Industrial
44,William Ding ,$31.4B,31.4,-$718M,-0.718,+$894M,0.894,China,Technology
45,Colin Huang ,$31.3B,31.3,-$1.24B,-1.24,-$31.3B,-31.3,China,Technology
46,Li Ka-shing ,$31.3B,31.3,+$8.50M,0.0085,+$226M,0.226,HongKong,Real Estate
47,Li Shu Fu,$31.0B,31,+$1.47B,1.47,+$8.83B,8.83,China,Industrial
48,Alain Wertheimer ,$30.6B,30.6,+$169M,0.169,-$8.85B,-8.85,France,Consumer
49,Gerard Wertheimer ,$30.6B,30.6,+$169M,0.169,-$8.85B,-8.85,France,Consumer
50,He Xiangjian ,$29.7B,29.7,+$186M,0.186,-$7.12B,-7.12,China,Consumer
51,Dieter Schwarz ,$29.5B,29.5,-$322M,-0.322,+$3.19B,3.19,Germany,Retail
52,Dan Gilbert ,$29.4B,29.4,+$991M,0.991,-$3.85B,-3.85,UnitedStates,Real Estate
53,Alexey Mordashov ,$28.8B,28.8,-$310M,-0.31,+$5.76B,5.76,RussianFederation,Industrial
54,Vladimir Lisin ,$28.6B,28.6,-$292M,-0.292,+$4.70B,4.7,RussianFederation,Industrial
55,Shiv Nadar ,$28.4B,28.4,-$258M,-0.258,+$4.24B,4.24,India,Technology
56,Eric Schmidt ,$28.1B,28.1,+$348M,0.348,+$8.71B,8.71,UnitedStates,Technology
57,Dustin Moskovitz ,$28.0B,28,+$497M,0.497,+$11.3B,11.3,UnitedStates,Technology
58,Scott Farquhar ,$27.7B,27.7,+$2.44B,2.44,+$13.3B,13.3,Australia,Technology
59,Mike Cannon-Brookes ,$27.7B,27.7,+$2.44B,2.44,+$13.3B,13.3,Australia,Technology
60,Wei Jianjun ,$27.6B,27.6,+$749M,0.749,+$14.8B,14.8,China,Consumer
61,Abigail Johnson ,$27.4B,27.4,-$313M,-0.313,+$3.41B,3.41,UnitedStates,Finance
62,Miriam Adelson ,$26.9B,26.9,-$402M,-0.402,+$26.9B,26.9,UnitedStates,Entertainment
63,Yang Huiyan ,$26.3B,26.3,-$541M,-0.541,-$3.74B,-3.74,China,Real Estate
64,James Simons ,$26.0B,26,$0 ,0,+$3.23B,3.23,UnitedStates,Finance
65,Wang Chuan-Fu ,$25.9B,25.9,+$214M,0.214,+$9.80B,9.8,China,Consumer
66,James Dyson ,$25.1B,25.1,-$67.7M,-0.0677,+$1.23B,1.23,UnitedKingdom,Consumer
67,Henry Cheng ,$24.9B,24.9,+$264M,0.264,+$4.52B,4.52,HongKong,Retail
68,Pang Kang ,$24.7B,24.7,+$76.3M,0.0763,-$7.14B,-7.14,China,Food&Beverage
69,Vagit Alekperov ,$24.5B,24.5,-$237M,-0.237,+$7.25B,7.25,RussianFederation,Energy
70,Huang Shilin ,$24.4B,24.4,+$1.16B,1.16,+$11.1B,11.1,China,Industrial
71,Radhakishan Damani ,$24.3B,24.3,-$255M,-0.255,+$9.33B,9.33,India,Retail
72,Jensen Huang ,$23.6B,23.6,+$557M,0.557,+$11.3B,11.3,UnitedStates,Technology
73,Gennady Timchenko ,$23.3B,23.3,-$317M,-0.317,+$6.67B,6.67,RussianFederation,Diversified
74,Lukas Walton ,$23.1B,23.1,+$118M,0.118,+$556M,0.556,UnitedStates,Retail
75,Susanne Klatten ,$23.0B,23,-$304M,-0.304,+$95.8M,0.0958,Germany,Industrial
76,Lee Shau Kee,$22.9B,22.9,+$139M,0.139,+$1.78B,1.78,HongKong,Real Estate
77,Masayoshi Son ,$22.9B,22.9,+$132M,0.132,-$4.95B,-4.95,Japan,Technology
78,Carl Icahn ,$22.8B,22.8,-$36.9M,-0.0369,+$2.57B,2.57,UnitedStates,Diversified
79,Thomas Peterffy ,$22.5B,22.5,+$74.8M,0.0748,+$2.96B,2.96,UnitedStates,Finance
80,Thomas Frist ,$22.5B,22.5,-$14.7M,-0.0147,+$6.71B,6.71,UnitedStates,Health Care
81,John Menard ,$22.5B,22.5,+$114M,0.114,+$4.06B,4.06,UnitedStates,Retail
82,Qin Yinglin ,$22.4B,22.4,+$702M,0.702,-$352M,-0.352,China,Food&Beverage
83,Ken Griffin ,$22.0B,22,+$505M,0.505,+$804M,0.804,UnitedStates,Finance
84,Lakshmi Mittal ,$21.8B,21.8,-$65.8M,-0.0658,+$5.36B,5.36,India,Commodities
85,Alisher Usmanov ,$21.8B,21.8,+$35.0M,0.035,+$644M,0.644,RussianFederation,Diversified
86,Thomas Struengmann ,$21.6B,21.6,-$335M,-0.335,+$11.5B,11.5,Germany,Health Care
87,Andreas Struengmann ,$21.6B,21.6,-$335M,-0.335,+$11.5B,11.5,Germany,Health Care
88,Jorge Paulo Lemann,$21.4B,21.4,-$551M,-0.551,-$2.45B,-2.45,Brazil,Food&Beverage
89,Stefan Quandt ,$21.2B,21.2,-$244M,-0.244,+$2.42B,2.42,Germany,Industrial
90,Ernesto Bertarelli&family ,$21.1B,21.1,-$99.9M,-0.0999,+$1.10B,1.1,Switzerland,Diversified
91,Iris Fontbona&family ,$21.0B,21,-$308M,-0.308,+$809M,0.809,Chile,Commodities
92,Li Xiting ,$21.0B,21,+$713M,0.713,-$2.22B,-2.22,Singapore,Health Care
93,Zhang Zhidong ,$20.8B,20.8,-$307M,-0.307,-$3.48B,-3.48,China,Technology
94,Elaine Marshall ,$20.7B,20.7,-$224M,-0.224,+$1.12B,1.12,UnitedStates,Industrial
95,Forrest Li ,$20.5B,20.5,-$554M,-0.554,+$9.55B,9.55,Singapore,Technology
96,Peter Woo ,$20.1B,20.1,+$195M,0.195,+$2.09B,2.09,HongKong,Real Estate
97,Wang Xing ,$20.0B,20,-$230M,-0.23,-$1.73B,-1.73,China,Technology
98,Jiang Rensheng ,$20.0B,20,+$351M,0.351,+$1.67B,1.67,China,Health Care
99,Stefan Persson ,$19.7B,19.7,-$774M,-0.774,-$1.50B,-1.5,Sweden,Retail
100,Gustaf Douglas&family ,$19.5B,19.5,-$396M,-0.396,+$6.07B,6.07,Sweden,Diversified
101,Donald Newhouse ,$19.3B,19.3,-$499M,-0.499,+$806M,0.806,UnitedStates,Media&Telecom
102,Aliko Dangote ,$19.2B,19.2,+$119M,0.119,+$1.41B,1.41,Nigeria,Industrial
103,Robert Kuok ,$19.0B,19,-$51.8M,-0.0518,+$1.58B,1.58,Malaysia,Diversified
104,Laurene Powell Jobs,$18.9B,18.9,-$19.6M,-0.0196,-$2.34B,-2.34,UnitedStates, Media&Telecom
105,Lei Jun ,$18.9B,18.9,-$386M,-0.386,-$12.4B,-12.4,China,Technology
106,Roman Abramovich ,$18.9B,18.9,-$192M,-0.192,+$440M,0.44,RussianFederation,Diversified
107,Budi Hartono ,$18.8B,18.8,+$225M,0.225,+$1.39B,1.39,Indonesia,Diversified
108,Xu Hang ,$18.7B,18.7,+$630M,0.63,-$570M,-0.57,HongKong,Health Care
109,Jay Chaudhry ,$18.6B,18.6,+$143M,0.143,+$6.80B,6.8,UnitedStates,Technology
110,Viktor Vekselberg ,$18.5B,18.5,+$5.97M,0.00597,+$2.42B,2.42,RussianFederation,Industrial
111,Wang Wei ,$18.4B,18.4,+$384M,0.384,-$6.78B,-6.78,China,Services
112,Andrey Melnichenko ,$18.3B,18.3,+$11.5M,0.0115,+$194M,0.194,RussianFederation,Industrial
113,Ernie Garcia ,$18.2B,18.2,+$276M,0.276,+$2.76B,2.76,UnitedStates,Consumer
114,Sara Mota de Larrea&family,$18.1B,18.1,+$13.0M,0.013,+$1.29B,1.29,Mexico,Commodities
115,Gina Rinehart ,$18.1B,18.1,+$430M,0.43,-$10.6B,-10.6,Australia,Commodities
116,Michael Hartono ,$17.7B,17.7,+$224M,0.224,+$1.40B,1.4,Indonesia,Diversified
117,Richard Liu ,$17.7B,17.7,-$556M,-0.556,-$2.04B,-2.04,China,Technology
118,Alwaleed Bin Talal,$17.6B,17.6,-$49.3M,-0.0493,+$1.34B,1.34,SaudiArabia,Diversified
119,Dave Duffield ,$17.6B,17.6,+$160M,0.16,+$2.86B,2.86,UnitedStates,Technology
120,Eduardo Saverin ,$17.5B,17.5,+$354M,0.354,+$2.74B,2.74,Brazil,Technology
121,Chen Bang ,$17.1B,17.1,+$913M,0.913,-$3.42B,-3.42,China,Health Care
122,Donald Bren ,$16.8B,16.8,$0 ,0,+$2.04B,2.04,UnitedStates,Real Estate
123,Andrew Forrest ,$16.5B,16.5,-$130M,-0.13,-$5.81B,-5.81,Australia,Commodities
124,Uday Kotak ,$16.5B,16.5,-$520M,-0.52,+$137M,0.137,India,Finance
125,Charlene de Carvalho-Heineken,$16.3B,16.3,-$227M,-0.227,+$228M,0.228,Netherlands,Food&Beverage
126,Cyrus Poonawalla ,$16.3B,16.3,+$256M,0.256,+$41.0M,0.041,India,Health Care
127,Hasso Plattner ,$16.3B,16.3,-$246M,-0.246,+$1.05B,1.05,Germany,Technology
128,Ned Johnson III,$16.2B,16.2,-$136M,-0.136,+$2.44B,2.44,UnitedStates,Finance
129,Vicky Safra ,$16.1B,16.1,$0 ,0,+$1.55B,1.55,Greece,Finance
